dataset,penalty,n_vertex_1,n_vertex_2,statistic,p_value
data-1,netCLG,0,1,14.0,0.0625
data-1,netCLG,0,2,12.0,0.15625
data-1,netCLG,1,2,9.0,0.40625
data-1,penalty1,0,1,47.0,0.0244140625
data-1,penalty1,0,2,40.0,0.1162109375
data-1,penalty1,0,3,33.0,0.3125
data-1,penalty1,0,4,26.0,0.5771484375
data-1,penalty1,1,2,34.0,0.2783203125
data-1,penalty1,1,3,22.0,0.7216796875
data-1,penalty1,1,4,12.0,0.947265625
data-1,penalty1,2,3,9.0,0.9755859375
data-1,penalty1,2,4,2.0,0.998046875
data-1,penalty1,3,4,1.0,0.9990234375
data-1,penalty10,0,1,54.0,0.001953125
data-1,penalty10,0,2,54.0,0.001953125
data-1,penalty10,0,3,50.0,0.009765625
data-1,penalty10,0,4,51.0,0.0068359375
data-1,penalty10,1,2,36.0,0.2158203125
data-1,penalty10,1,3,26.0,0.5771484375
data-1,penalty10,1,4,22.0,0.7216796875
data-1,penalty10,2,3,15.0,0.9033203125
data-1,penalty10,2,4,12.0,0.947265625
data-1,penalty10,3,4,15.0,0.9033203125
data-1,penalty5,0,1,52.0,0.0048828125
data-1,penalty5,0,2,46.0,0.0322265625
data-1,penalty5,0,3,42.0,0.080078125
data-1,penalty5,0,4,43.0,0.0654296875
data-1,penalty5,1,2,22.0,0.7216796875
data-1,penalty5,1,3,20.0,0.7841796875
data-1,penalty5,1,4,19.0,0.8125
data-1,penalty5,2,3,9.0,0.9755859375
data-1,penalty5,2,4,11.0,0.9580078125
data-1,penalty5,3,4,14.0,0.919921875
