,construction_time
face_baseline_eps0.5,0.05700516700744629
face_baseline_eps1,0.08464336395263672
face_baseline_eps2,0.22362399101257324
face_baseline_eps3,0.5318708419799805
face_kde_eps0.5,0.030617237091064453
face_kde_eps1,0.04208540916442871
face_kde_eps2,0.10952353477478027
face_kde_eps3,0.27303242683410645
face_eps_eps0.5,0.004999399185180664
face_eps_eps1,0.004998207092285156
face_eps_eps2,0.005000114440917969
face_eps_eps3,0.006567955017089844
bayesace_nf_v0_pen0,
bayesace_nf_v0_pen1,
bayesace_nf_v0_pen5,
bayesace_nf_v0_pen10,
bayesace_nf_v0_pen15,
bayesace_nf_v0_pen20,
bayesace_clg_v0_pen0,
bayesace_clg_v0_pen1,
bayesace_clg_v0_pen5,
bayesace_clg_v0_pen10,
bayesace_clg_v0_pen15,
bayesace_clg_v0_pen20,
bayesace_nf_v0,0.0
bayesace_clg_v0,0.0
