44127,CLG_RD,GT_RD,GT_SD,CLG,NF
Logl_mean,-7.091096442398713,-5.822544315121104,-5.309356111402272,-7.259675853331094,-6.423980334324119
Logl_std,0.11566137189454137,0.28145353413731483,0.0,0.32050221934869877,0.19134267550876055
LoglStd_mean,2.066550375861078,3.5739673356428305,1.8239473161960926,4.306118794267975,3.028123312498278
LoglStd_std,0.23494630984245005,0.93378874241254,0.0,3.095499799999591,0.9390543243031586
Brier_mean,0.16934945926688266,0.15089080450406117,0.0777933709569649,0.163108445508214,0.13625329658928026
Brier_std,0.01403800906285992,0.019424599212252074,0.0,0.012293816976750192,0.01703026800133973
AUC_mean,0.8383994257154359,0.8644535012330732,0.9589526681660191,0.84671888423931,0.8838446301876495
AUC_std,0.01832466433577978,0.02114681054797648,0.0,0.018041856942575783,0.022765261142201374
Time_mean,0.05317084789276123,44.27342047691345,0.0,0.05113961696624756,41.09745769500732
Time_std,0.012205420062276508,16.08065018871541,0.0,0.005146958710473904,16.276306934870536
params,BIC,"{'lr': 0.0004998683629986468, 'weight_decay': 0.0013327938115912147, 'split_dim': 2, 'hidden_u': 2, 'layers': 4, 'n_flows': 8, 'steps': 651.6}","{'lr': 0.0004998683629986468, 'weight_decay': 0.0013327938115912147, 'split_dim': 2, 'hidden_u': 2, 'layers': 4, 'n_flows': 8, 'steps': 651.6}",BIC,"{'lr': 0.00021578878907923908, 'weight_decay': 0.00995346572001109, 'split_dim': 1, 'hidden_u': 5, 'layers': 3, 'n_flows': 5, 'steps': 790.5}"
