44127,CLG_RD,GT_RD
Logl_mean,-7.091758561210239,-5.7878059941128575
Logl_std,0.1153711265077655,0.5982739442037643
LoglStd_mean,2.0658101327763174,5.094380838998668
LoglStd_std,0.23618437145830995,5.108984546908371
Brier_mean,0.16954784373742157,0.14499824627522967
Brier_std,0.014332169433456166,0.019366863053321106
AUC_mean,0.8384442111224353,0.8776428150579022
AUC_std,0.018551604561761515,0.022236836609450698
Time_mean,0.04253318309783936,53.99187994003296
Time_std,0.02276161077361311,20.69756436308889
params,BIC,"{'lr': 0.00020558125194839903, 'weight_decay': 0.0001, 'split_dim': 1, 'hidden_u': 10, 'layers': 5, 'n_flows': 5, 'steps': 689.1}"
